Family,Genus,Species
Fabaceae,Acacia,mearnsii
Fabaceae,Acacia,pycnantha
Fabaceae,Acacia,saligna
Rutaceae,Adenandra,gummifera
Rubiaceae,Anthospermum,aethiopicum
Fabaceae,Aspalathus,NA
Asparagaceae,Asparagus,lignosus
Asparagaceae,Asparagus,NA
Asteraceae,Athanasia,trifurcata
Proteaceae,Aulax,lanceolata
Bruniaceae,Berzelia,abrotanoides
Bruniaceae,Berzelia,cordifolia
Poaceae,Capeochloa,arundinaceae
Convolvulaceae,Cassytha,ciliolata
Rosaceae,Cliffortia,NA
Poaceae,Cymbopogon,pospischilii
Poaceae,Cynodon,dactylon
Haemodoraceae,Dilatris,pillansii
Ebenaceae,Diospyros,dichrophylla
Aizoaceae,Drosanthemum,NA
Restionaceae,Elegia,juncea
Restionaceae,Elegia,muirii
Asteraceae,Elytropappus,rhinocerotis
Poaceae,Eragrostis,capensis
Ericaceae,Erica,cerinthoides
Ericaceae,Erica,discolor
Ericaceae,Erica,sessiliflora
Ericaceae,Erica,NA
Asteraceae,Eriocephalus,paniculatus
Myrtaceae,Eucalyptus,NA
Ebenaceae,Euclea,polyantha
Aizoaceae,Galenia,affinis
Asteraceae,Helichrysum,crispum
Asteraceae,Helichrysum,litorale
Proteaceae,Leucadendron,xanthoconus
Restionaceae,Mastersiella,digitata
Poaceae,Merxmuellera,disticha
Asteraceae,Metalasia,pungens
Asteraceae,Nidorella,ivifolia
Asteraceae,Oedera,genistifolia
Santalaceae,Osyris,compressa
Oxalidaceae,Oxalis,NA
Penaeaceae,Penaea,mucronata
Poaceae,Pennisetum,clandestinum
Rhamnaceae,Phylica,ericoides
Rhamnaceae,Phylica,NA
Pinaceae,Pinus,radiata
Proteaceae,Protea,denticulata
Proteaceae,Protea,neriifolia
Proteaceae,Protea,repens
Celastraceae,Pterocelastrus,tricuspidatus
Restionaceae,Restio,capensis
Restionaceae,Restio,cincinnatus
Restionaceae,Restio,tetragonus
Restionaceae,Restio,NA
Anacardiaceae,Rhus,glauca
Anacardiaceae,Rhus,lucida
Anacardiaceae,Rhus,rosmarinifolia
Anacardiaceae,Rhus,tomentosa
Cyperaceae,Schoenoplectus,NA
Scrophulariaceae,Selago,villosa
Asteraceae,Senecio,rosmarinifolius
Asteraceae,Senecio,NA
Proteaceae,Serruria,nervosa
Proteaceae,Serruria,NA
Poaceae,Sporobolus,NA
Restionaceae,Staberoha,cernua
Thymelaeaceae,Struthiola,argentea
Cyperaceae,Tetraria,bromoides
Cyperaceae,Tetraria,compar
Cyperaceae,Tetraria,fasciata
Restionaceae,Thamnochortus,fraternus
Restionaceae,Thamnochortus,NA
Santalaceae,Thesium,NA
Iridaceae,Tritoniopsis,triticea
Zygophyllaceae,Zygophyllum,NA
NA,NA,NA
Primulaceae,NA,NA
Apiaceae,NA,NA
Asteraceae,NA,NA
Aizoaceae,NA,NA
Thymelaeaceae,NA,NA
Ericaceae,NA,NA
Restionaceae,NA,NA
